,0,1,2,3,4,Xt
0,72.076,64.442,64.084,60.842,61.798,66.538
1,64.442,64.084,60.842,61.798,66.538,72.626
2,64.084,60.842,61.798,66.538,72.626,75.181
3,60.842,61.798,66.538,72.626,75.181,68.397
4,61.798,66.538,72.626,75.181,68.397,67.668
5,66.538,72.626,75.181,68.397,67.668,67.021
6,72.626,75.181,68.397,67.668,67.021,71.118
7,75.181,68.397,67.668,67.021,71.118,70.55
8,68.397,67.668,67.021,71.118,70.55,62.929
9,67.668,67.021,71.118,70.55,62.929,64.519
10,67.021,71.118,70.55,62.929,64.519,60.544
11,71.118,70.55,62.929,64.519,60.544,64.687
12,70.55,62.929,64.519,60.544,64.687,64.736
13,62.929,64.519,60.544,64.687,64.736,73.698
14,64.519,60.544,64.687,64.736,73.698,72.559
15,60.544,64.687,64.736,73.698,72.559,63.221
16,64.687,64.736,73.698,72.559,63.221,65.418
17,64.736,73.698,72.559,63.221,65.418,65.593
18,73.698,72.559,63.221,65.418,65.593,71.677
19,72.559,63.221,65.418,65.593,71.677,72.708
20,63.221,65.418,65.593,71.677,72.708,65.117
21,65.418,65.593,71.677,72.708,65.117,66.532
22,65.593,71.677,72.708,65.117,66.532,61.975
23,71.677,72.708,65.117,66.532,61.975,62.031
24,72.708,65.117,66.532,61.975,62.031,67.875
25,65.117,66.532,61.975,62.031,67.875,74.184
26,66.532,61.975,62.031,67.875,74.184,77.029
27,61.975,62.031,67.875,74.184,77.029,66.156
28,62.031,67.875,74.184,77.029,66.156,66.651
29,67.875,74.184,77.029,66.156,66.651,67.625
30,74.184,77.029,66.156,66.651,67.625,75.857
31,77.029,66.156,66.651,67.625,75.857,81.264
32,66.156,66.651,67.625,75.857,81.264,71.058
33,66.651,67.625,75.857,81.264,71.058,73.361
34,67.625,75.857,81.264,71.058,73.361,68.703
35,75.857,81.264,71.058,73.361,68.703,68.985
36,81.264,71.058,73.361,68.703,68.985,73.936
37,71.058,73.361,68.703,68.985,73.936,80.968
38,73.361,68.703,68.985,73.936,80.968,81.962
39,68.703,68.985,73.936,80.968,81.962,72.95
40,68.985,73.936,80.968,81.962,72.95,74.746
41,73.936,80.968,81.962,72.95,74.746,78.924
42,80.968,81.962,72.95,74.746,78.924,84.49
43,81.962,72.95,74.746,78.924,84.49,87.215
44,72.95,74.746,78.924,84.49,87.215,75.943
45,74.746,78.924,84.49,87.215,75.943,75.092
46,78.924,84.49,87.215,75.943,75.092,68.641
47,84.49,87.215,75.943,75.092,68.641,74.916
48,87.215,75.943,75.092,68.641,74.916,80.942
49,75.943,75.092,68.641,74.916,80.942,90.667
50,75.092,68.641,74.916,80.942,90.667,89.046
51,68.641,74.916,80.942,90.667,89.046,80.975
52,74.916,80.942,90.667,89.046,80.975,77.369
53,80.942,90.667,89.046,80.975,77.369,78.058
54,90.667,89.046,80.975,77.369,78.058,83.279
55,89.046,80.975,77.369,78.058,83.279,85.191
56,80.975,77.369,78.058,83.279,85.191,71.476
57,77.369,78.058,83.279,85.191,71.476,67.829
58,78.058,83.279,85.191,71.476,67.829,69.051
59,83.279,85.191,71.476,67.829,69.051,74.201
60,85.191,71.476,67.829,69.051,74.201,81.372
61,71.476,67.829,69.051,74.201,81.372,88.003
62,67.829,69.051,74.201,81.372,88.003,91.836
63,69.051,74.201,81.372,88.003,91.836,85.066
64,74.201,81.372,88.003,91.836,85.066,79.494
65,81.372,88.003,91.836,85.066,79.494,79.291
66,88.003,91.836,85.066,79.494,79.291,87.107
67,91.836,85.066,79.494,79.291,87.107,93.946
68,85.066,79.494,79.291,87.107,93.946,83.91
69,79.494,79.291,87.107,93.946,83.91,83.689
70,79.291,87.107,93.946,83.91,83.689,78.077
71,87.107,93.946,83.91,83.689,78.077,83.19
72,93.946,83.91,83.689,78.077,83.19,88.15
73,83.91,83.689,78.077,83.19,88.15,96.579
74,83.689,78.077,83.19,88.15,96.579,97.246
75,78.077,83.19,88.15,96.579,97.246,84.463
76,83.19,88.15,96.579,97.246,84.463,86.071
77,88.15,96.579,97.246,84.463,86.071,86.09
78,96.579,97.246,84.463,86.071,86.09,94.293
79,97.246,84.463,86.071,86.09,94.293,100.568
80,84.463,86.071,86.09,94.293,100.568,94.862
81,86.071,86.09,94.293,100.568,94.862,93.21
82,86.09,94.293,100.568,94.862,93.21,81.245
83,94.293,100.568,94.862,93.21,81.245,82.785
84,100.568,94.862,93.21,81.245,82.785,91.484
85,94.862,93.21,81.245,82.785,91.484,107.126
86,93.21,81.245,82.785,91.484,107.126,106.245
87,81.245,82.785,91.484,107.126,106.245,95.662
88,82.785,91.484,107.126,106.245,95.662,90.03
89,91.484,107.126,106.245,95.662,90.03,91.239
90,107.126,106.245,95.662,90.03,91.239,102.138
91,106.245,95.662,90.03,91.239,102.138,108.164
92,95.662,90.03,91.239,102.138,108.164,94.766
93,90.03,91.239,102.138,108.164,94.766,95.724
94,91.239,102.138,108.164,94.766,95.724,86.386
95,102.138,108.164,94.766,95.724,86.386,89.002
96,108.164,94.766,95.724,86.386,89.002,99.05
97,94.766,95.724,86.386,89.002,99.05,111.044
98,95.724,86.386,89.002,99.05,111.044,107.758
99,86.386,89.002,99.05,111.044,107.758,95.891
100,89.002,99.05,111.044,107.758,95.891,94.541
101,99.05,111.044,107.758,95.891,94.541,92.986
102,111.044,107.758,95.891,94.541,92.986,105.056
103,107.758,95.891,94.541,92.986,105.056,113.136
104,95.891,94.541,92.986,105.056,113.136,97.313
105,94.541,92.986,105.056,113.136,97.313,95.335
106,92.986,105.056,113.136,97.313,95.335,86.587
107,105.056,113.136,97.313,95.335,86.587,90.83
108,113.136,97.313,95.335,86.587,90.83,94.419
109,97.313,95.335,86.587,90.83,94.419,109.995
110,95.335,86.587,90.83,94.419,109.995,109.179
111,86.587,90.83,94.419,109.995,109.179,96.39
112,90.83,94.419,109.995,109.179,96.39,92.24
113,94.419,109.995,109.179,96.39,92.24,95.165
114,109.995,109.179,96.39,92.24,95.165,101.367
115,109.179,96.39,92.24,95.165,101.367,105.965
116,96.39,92.24,95.165,101.367,105.965,90.912
117,92.24,95.165,101.367,105.965,90.912,93.568
118,95.165,101.367,105.965,90.912,93.568,86.575
119,101.367,105.965,90.912,93.568,86.575,90.75
120,105.965,90.912,93.568,86.575,90.75,99.98
121,90.912,93.568,86.575,90.75,99.98,119.945
122,93.568,86.575,90.75,99.98,119.945,126.652
123,86.575,90.75,99.98,119.945,126.652,107.675
124,90.75,99.98,119.945,126.652,107.675,100.677
125,99.98,119.945,126.652,107.675,100.677,101.663
126,119.945,126.652,107.675,100.677,101.663,117.417
127,126.652,107.675,100.677,101.663,117.417,119.436
128,107.675,100.677,101.663,117.417,119.436,103.635
129,100.677,101.663,117.417,119.436,103.635,108.149
130,101.663,117.417,119.436,103.635,108.149,94.329
131,117.417,119.436,103.635,108.149,94.329,98.181
132,119.436,103.635,108.149,94.329,98.181,112.983
133,103.635,108.149,94.329,98.181,112.983,119.701
134,108.149,94.329,98.181,112.983,119.701,125.724
135,94.329,98.181,112.983,119.701,125.724,107.179
136,98.181,112.983,119.701,125.724,107.179,108.583
137,112.983,119.701,125.724,107.179,108.583,107.546
138,119.701,125.724,107.179,108.583,107.546,112.167
139,125.724,107.179,108.583,107.546,112.167,125.429
140,107.179,108.583,107.546,112.167,125.429,109.359
141,108.583,107.546,112.167,125.429,109.359,107.966
142,107.546,112.167,125.429,109.359,107.966,100.317
143,112.167,125.429,109.359,107.966,100.317,107.595
144,125.429,109.359,107.966,100.317,107.595,113.584
145,109.359,107.966,100.317,107.595,113.584,126.626
146,107.966,100.317,107.595,113.584,126.626,124.309
147,100.317,107.595,113.584,126.626,124.309,111.9
148,107.595,113.584,126.626,124.309,111.9,108.331
149,113.584,126.626,124.309,111.9,108.331,107.034
150,126.626,124.309,111.9,108.331,107.034,124.95
151,124.309,111.9,108.331,107.034,124.95,126.887
152,111.9,108.331,107.034,124.95,126.887,109.086
153,108.331,107.034,124.95,126.887,109.086,106.803
154,107.034,124.95,126.887,109.086,106.803,95.341
155,124.95,126.887,109.086,106.803,95.341,101.892
156,126.887,109.086,106.803,95.341,101.892,116.698
157,109.086,106.803,95.341,101.892,116.698,134.789
158,106.803,95.341,101.892,116.698,134.789,122.28
159,95.341,101.892,116.698,134.789,122.28,112.03
160,101.892,116.698,134.789,122.28,112.03,107.235
161,116.698,134.789,122.28,112.03,107.235,107.317
162,134.789,122.28,112.03,107.235,107.317,117.127
163,122.28,112.03,107.235,107.317,117.127,124.043
164,112.03,107.235,107.317,117.127,124.043,106.754
165,107.235,107.317,117.127,124.043,106.754,108.607
166,107.317,117.127,124.043,106.754,108.607,102.222
167,117.127,124.043,106.754,108.607,102.222,112.257
168,124.043,106.754,108.607,102.222,112.257,126.2
169,106.754,108.607,102.222,112.257,126.2,140.582
170,108.607,102.222,112.257,126.2,140.582,139.268
171,102.222,112.257,126.2,140.582,139.268,117.773
172,112.257,126.2,140.582,139.268,117.773,113.515
173,126.2,140.582,139.268,117.773,113.515,111.217
174,140.582,139.268,117.773,113.515,111.217,124.314
175,139.268,117.773,113.515,111.217,124.314,133.468
176,117.773,113.515,111.217,124.314,133.468,120.783
177,113.515,111.217,124.314,133.468,120.783,115.584
178,111.217,124.314,133.468,120.783,115.584,106.49
179,124.314,133.468,120.783,115.584,106.49,111.2
180,133.468,120.783,115.584,106.49,111.2,128.537
181,120.783,115.584,106.49,111.2,128.537,141.139
182,115.584,106.49,111.2,128.537,141.139,148.031
183,106.49,111.2,128.537,141.139,148.031,121.057
184,111.2,128.537,141.139,148.031,121.057,117.165
185,128.537,141.139,148.031,121.057,117.165,116.659
186,141.139,148.031,121.057,117.165,116.659,131.695
187,148.031,121.057,117.165,116.659,131.695,132.233
188,121.057,117.165,116.659,131.695,132.233,124.345
189,117.165,116.659,131.695,132.233,124.345,122.803
190,116.659,131.695,132.233,124.345,122.803,111.194
191,131.695,132.233,124.345,122.803,111.194,115.915
192,132.233,124.345,122.803,111.194,115.915,126.031
193,124.345,122.803,111.194,115.915,126.031,138.083
194,122.803,111.194,115.915,126.031,138.083,139.614
195,111.194,115.915,126.031,138.083,139.614,124.594
196,115.915,126.031,138.083,139.614,124.594,119.943
197,126.031,138.083,139.614,124.594,119.943,120.824
198,138.083,139.614,124.594,119.943,120.824,143.264
199,139.614,124.594,119.943,120.824,143.264,132.923
200,124.594,119.943,120.824,143.264,132.923,116.26
201,119.943,120.824,143.264,132.923,116.26,121.806
202,120.824,143.264,132.923,116.26,121.806,115.909
203,143.264,132.923,116.26,121.806,115.909,118.556
204,132.923,116.26,121.806,115.909,118.556,130.719
205,116.26,121.806,115.909,118.556,130.719,143.146
206,121.806,115.909,118.556,130.719,143.146,146.257
207,115.909,118.556,130.719,143.146,146.257,134.042
208,118.556,130.719,143.146,146.257,134.042,128.8
209,130.719,143.146,146.257,134.042,128.8,122.119
210,143.146,146.257,134.042,128.8,122.119,137.027
211,146.257,134.042,128.8,122.119,137.027,143.148
212,134.042,128.8,122.119,137.027,143.148,117.505
213,128.8,122.119,137.027,143.148,117.505,118.823
214,122.119,137.027,143.148,117.505,118.823,111.147
215,137.027,143.148,117.505,118.823,111.147,122.745
216,143.148,117.505,118.823,111.147,122.745,131.945
217,117.505,118.823,111.147,122.745,131.945,144.042
218,118.823,111.147,122.745,131.945,144.042,144.107
219,111.147,122.745,131.945,144.042,144.107,129.099
220,122.745,131.945,144.042,144.107,129.099,124.058
221,131.945,144.042,144.107,129.099,124.058,127.928
222,144.042,144.107,129.099,124.058,127.928,133.633
223,144.107,129.099,124.058,127.928,133.633,137.39
224,129.099,124.058,127.928,133.633,137.39,121.125
225,124.058,127.928,133.633,137.39,121.125,126.201
226,127.928,133.633,137.39,121.125,126.201,118.33
227,133.633,137.39,121.125,126.201,118.33,121.946
228,137.39,121.125,126.201,118.33,121.946,129.054
229,121.125,126.201,118.33,121.946,129.054,148.563
230,126.201,118.33,121.946,129.054,148.563,142.166
231,118.33,121.946,129.054,148.563,142.166,132.766
232,121.946,129.054,148.563,142.166,132.766,126.405
233,129.054,148.563,142.166,132.766,126.405,126.014
234,148.563,142.166,132.766,126.405,126.014,139.605
235,142.166,132.766,126.405,126.014,139.605,139.269
236,132.766,126.405,126.014,139.605,139.269,128.056
237,126.405,126.014,139.605,139.269,128.056,134.599
238,126.014,139.605,139.269,128.056,134.599,119.596
239,139.605,139.269,128.056,134.599,119.596,120.469
240,139.269,128.056,134.599,119.596,120.469,136.697
241,128.056,134.599,119.596,120.469,136.697,157.967
242,134.599,119.596,120.469,136.697,157.967,156.392
243,119.596,120.469,136.697,157.967,156.392,133.435
244,120.469,136.697,157.967,156.392,133.435,130.321
245,136.697,157.967,156.392,133.435,130.321,131.799
246,157.967,156.392,133.435,130.321,131.799,143.919
247,156.392,133.435,130.321,131.799,143.919,153.119
248,133.435,130.321,131.799,143.919,153.119,131.25
249,130.321,131.799,143.919,153.119,131.25,132.54
250,131.799,143.919,153.119,131.25,132.54,120.392
251,143.919,153.119,131.25,132.54,120.392,126.496
252,153.119,131.25,132.54,120.392,126.496,146.639
253,131.25,132.54,120.392,126.496,146.639,153.375
254,132.54,120.392,126.496,146.639,153.375,151.757
255,120.392,126.496,146.639,153.375,151.757,133.235
256,126.496,146.639,153.375,151.757,133.235,129.229
257,146.639,153.375,151.757,133.235,129.229,124.074
258,153.375,151.757,133.235,129.229,124.074,136.675
259,151.757,133.235,129.229,124.074,136.675,143.097
260,133.235,129.229,124.074,136.675,143.097,127.774
261,129.229,124.074,136.675,143.097,127.774,127.348
262,124.074,136.675,143.097,127.774,127.348,118.414
263,136.675,143.097,127.774,127.348,118.414,125.516
264,143.097,127.774,127.348,118.414,125.516,138.913
265,127.774,127.348,118.414,125.516,138.913,159.638
266,127.348,118.414,125.516,138.913,159.638,167.717
267,118.414,125.516,138.913,159.638,167.717,137.474
268,125.516,138.913,159.638,167.717,137.474,132.871
269,138.913,159.638,167.717,137.474,132.871,134.591
270,159.638,167.717,137.474,132.871,134.591,147.39
271,167.717,137.474,132.871,134.591,147.39,153.915
272,137.474,132.871,134.591,147.39,153.915,138.446
273,132.871,134.591,147.39,153.915,138.446,138.362
274,134.591,147.39,153.915,138.446,138.362,124.885
275,147.39,153.915,138.446,138.362,124.885,135.014
276,153.915,138.446,138.362,124.885,135.014,147.23
277,138.446,138.362,124.885,135.014,147.23,160.939
278,138.362,124.885,135.014,147.23,160.939,162.998
279,124.885,135.014,147.23,160.939,162.998,144.095
280,135.014,147.23,160.939,162.998,144.095,143.399
281,147.23,160.939,162.998,144.095,143.399,147.318
282,160.939,162.998,144.095,143.399,147.318,155.809
283,162.998,144.095,143.399,147.318,155.809,162.245
284,144.095,143.399,147.318,155.809,162.245,135.873
285,143.399,147.318,155.809,162.245,135.873,138.495
286,147.318,155.809,162.245,135.873,138.495,130.325
287,155.809,162.245,135.873,138.495,130.325,136.525
288,162.245,135.873,138.495,130.325,136.525,147.624
289,135.873,138.495,130.325,136.525,147.624,169.108
290,138.495,130.325,136.525,147.624,169.108,164.925
291,130.325,136.525,147.624,169.108,164.925,152.353
292,136.525,147.624,169.108,164.925,152.353,152.153
293,147.624,169.108,164.925,152.353,152.153,146.425
294,169.108,164.925,152.353,152.153,146.425,160.993
295,164.925,152.353,152.153,146.425,160.993,159.602
296,152.353,152.153,146.425,160.993,159.602,138.682
297,152.153,146.425,160.993,159.602,138.682,144.143
298,146.425,160.993,159.602,138.682,144.143,133.418
299,160.993,159.602,138.682,144.143,133.418,146.249
300,159.602,138.682,144.143,133.418,146.249,158.591
301,138.682,144.143,133.418,146.249,158.591,174.995
302,144.143,133.418,146.249,158.591,174.995,174.745
303,133.418,146.249,158.591,174.995,174.745,156.709
304,146.249,158.591,174.995,174.745,156.709,147.334
305,158.591,174.995,174.745,156.709,147.334,139.397
306,174.995,174.745,156.709,147.334,139.397,154.318
307,174.745,156.709,147.334,139.397,154.318,161.387
308,156.709,147.334,139.397,154.318,161.387,138.081
309,147.334,139.397,154.318,161.387,138.081,145.169
310,139.397,154.318,161.387,138.081,145.169,137.504
311,154.318,161.387,138.081,145.169,137.504,144.891
312,161.387,138.081,145.169,137.504,144.891,157.377
313,138.081,145.169,137.504,144.891,157.377,179.42
314,145.169,137.504,144.891,157.377,179.42,173.707
315,137.504,144.891,157.377,179.42,173.707,154.874
316,144.891,157.377,179.42,173.707,154.874,147.523
317,157.377,179.42,173.707,154.874,147.523,142.095
318,179.42,173.707,154.874,147.523,142.095,154.387
319,173.707,154.874,147.523,142.095,154.387,172.903
320,154.874,147.523,142.095,154.387,172.903,155.75
321,147.523,142.095,154.387,172.903,155.75,152.347
322,142.095,154.387,172.903,155.75,152.347,137.295
323,154.387,172.903,155.75,152.347,137.295,151.232
324,172.903,155.75,152.347,137.295,151.232,165.771
325,155.75,152.347,137.295,151.232,165.771,172.816
326,152.347,137.295,151.232,165.771,172.816,179.476
327,137.295,151.232,165.771,172.816,179.476,158.627
328,151.232,165.771,172.816,179.476,158.627,156.631
329,165.771,172.816,179.476,158.627,156.631,155.015
330,172.816,179.476,158.627,156.631,155.015,169.514
331,179.476,158.627,156.631,155.015,169.514,171.379
332,158.627,156.631,155.015,169.514,171.379,146.187
333,156.631,155.015,169.514,171.379,146.187,151.068
334,155.015,169.514,171.379,146.187,151.068,136.46
335,169.514,171.379,146.187,151.068,136.46,148.784
336,171.379,146.187,151.068,136.46,148.784,159.457
337,146.187,151.068,136.46,148.784,159.457,176.898
338,151.068,136.46,148.784,159.457,176.898,180.673
339,136.46,148.784,159.457,176.898,180.673,153.202
340,148.784,159.457,176.898,180.673,153.202,146.64
341,159.457,176.898,180.673,153.202,146.64,142.367
342,176.898,180.673,153.202,146.64,142.367,156.713
343,180.673,153.202,146.64,142.367,156.713,159.356
344,153.202,146.64,142.367,156.713,159.356,139.482
345,146.64,142.367,156.713,159.356,139.482,146.594
346,142.367,156.713,159.356,139.482,146.594,138.353
347,156.713,159.356,139.482,146.594,138.353,147.956
348,159.356,139.482,146.594,138.353,147.956,161.561
349,139.482,146.594,138.353,147.956,161.561,179.351
350,146.594,138.353,147.956,161.561,179.351,177.391
351,138.353,147.956,161.561,179.351,177.391,162.681
352,147.956,161.561,179.351,177.391,162.681,156.051
353,161.561,179.351,177.391,162.681,156.051,153.318
354,179.351,177.391,162.681,156.051,153.318,167.785
355,177.391,162.681,156.051,153.318,167.785,175.518
356,162.681,156.051,153.318,167.785,175.518,152.63
357,156.051,153.318,167.785,175.518,152.63,150.919
358,153.318,167.785,175.518,152.63,150.919,138.322
359,167.785,175.518,152.63,150.919,138.322,147.491
360,175.518,152.63,150.919,138.322,147.491,160.056
361,152.63,150.919,138.322,147.491,160.056,178.656
362,150.919,138.322,147.491,160.056,178.656,181.673
363,138.322,147.491,160.056,178.656,181.673,161.942
364,147.491,160.056,178.656,181.673,161.942,155.337
365,160.056,178.656,181.673,161.942,155.337,156.001
366,178.656,181.673,161.942,155.337,156.001,172.427
367,181.673,161.942,155.337,156.001,172.427,175.35
368,161.942,155.337,156.001,172.427,175.35,157.548
369,155.337,156.001,172.427,175.35,157.548,149.42
370,156.001,172.427,175.35,157.548,149.42,138.155
371,172.427,175.35,157.548,149.42,138.155,153.824
372,175.35,157.548,149.42,138.155,153.824,164.022
373,157.548,149.42,138.155,153.824,164.022,178.541
374,149.42,138.155,153.824,164.022,178.541,175.913
375,138.155,153.824,164.022,178.541,175.913,163.182
376,153.824,164.022,178.541,175.913,163.182,155.596
377,164.022,178.541,175.913,163.182,155.596,156.598
378,178.541,175.913,163.182,155.596,156.598,174.92
379,175.913,163.182,155.596,156.598,174.92,175.514
380,163.182,155.596,156.598,174.92,175.514,153.555
381,155.596,156.598,174.92,175.514,153.555,159.857
382,156.598,174.92,175.514,153.555,159.857,140.548
383,174.92,175.514,153.555,159.857,140.548,151.645
384,175.514,153.555,159.857,140.548,151.645,171.133
385,153.555,159.857,140.548,151.645,171.133,184.087
386,159.857,140.548,151.645,171.133,184.087,186.022
387,140.548,151.645,171.133,184.087,186.022,169.222
388,151.645,171.133,184.087,186.022,169.222,160.682
389,171.133,184.087,186.022,169.222,160.682,155.899
390,184.087,186.022,169.222,160.682,155.899,175.664
391,186.022,169.222,160.682,155.899,175.664,166.165
392,169.222,160.682,155.899,175.664,166.165,154.226
393,160.682,155.899,175.664,166.165,154.226,156.997
394,155.899,175.664,166.165,154.226,156.997,138.082
395,175.664,166.165,154.226,156.997,138.082,153.221
396,166.165,154.226,156.997,138.082,153.221,166.169
397,154.226,156.997,138.082,153.221,166.169,184.807
398,156.997,138.082,153.221,166.169,184.807,186.844
399,138.082,153.221,166.169,184.807,186.844,160.475
400,153.221,166.169,184.807,186.844,160.475,159.328
401,166.169,184.807,186.844,160.475,159.328,156.604
402,184.807,186.844,160.475,159.328,156.604,170.779
403,186.844,160.475,159.328,156.604,170.779,174.337
404,160.475,159.328,156.604,170.779,174.337,159.772
405,159.328,156.604,170.779,174.337,159.772,155.545
406,156.604,170.779,174.337,159.772,155.545,144.038
407,170.779,174.337,159.772,155.545,144.038,154.284
408,174.337,159.772,155.545,144.038,154.284,170.559
409,159.772,155.545,144.038,154.284,170.559,183.582
410,155.545,144.038,154.284,170.559,183.582,188.407
411,144.038,154.284,170.559,183.582,188.407,167.18
412,154.284,170.559,183.582,188.407,167.18,159.36
413,170.559,183.582,188.407,167.18,159.36,156.666
414,183.582,188.407,167.18,159.36,156.666,173.557
415,188.407,167.18,159.36,156.666,173.557,177.865
416,167.18,159.36,156.666,173.557,177.865,163.114
417,159.36,156.666,173.557,177.865,163.114,156.693
418,156.666,173.557,177.865,163.114,156.693,144.524
419,173.557,177.865,163.114,156.693,144.524,152.626
420,177.865,163.114,156.693,144.524,152.626,168.239
421,163.114,156.693,144.524,152.626,168.239,184.592
422,156.693,144.524,152.626,168.239,184.592,179.993
423,144.524,152.626,168.239,184.592,179.993,160.76
424,152.626,168.239,184.592,179.993,160.76,150.605
425,168.239,184.592,179.993,160.76,150.605,152.302
426,184.592,179.993,160.76,150.605,152.302,168.073
427,179.993,160.76,150.605,152.302,168.073,169.01
428,160.76,150.605,152.302,168.073,169.01,138.457
429,150.605,152.302,168.073,169.01,138.457,134.157
430,152.302,168.073,169.01,138.457,134.157,125.161
431,168.073,169.01,138.457,134.157,125.161,131.317
432,169.01,138.457,134.157,125.161,131.317,147.22
433,138.457,134.157,125.161,131.317,147.22,157.083
434,134.157,125.161,131.317,147.22,157.083,161.543
435,125.161,131.317,147.22,157.083,161.543,137.175
436,131.317,147.22,157.083,161.543,137.175,138.952
437,147.22,157.083,161.543,137.175,138.952,136.236
438,157.083,161.543,137.175,138.952,136.236,164.564
439,161.543,137.175,138.952,136.236,164.564,169.541
440,137.175,138.952,136.236,164.564,169.541,149.732
441,138.952,136.236,164.564,169.541,149.732,142.659
442,136.236,164.564,169.541,149.732,142.659,125.288
443,164.564,169.541,149.732,142.659,125.288,141.697
444,169.541,149.732,142.659,125.288,141.697,163.128
445,149.732,142.659,125.288,141.697,163.128,177.165
446,142.659,125.288,141.697,163.128,177.165,176.655
447,125.288,141.697,163.128,177.165,176.655,148.406
448,141.697,163.128,177.165,176.655,148.406,132.129
449,163.128,177.165,176.655,148.406,132.129,135.919
450,177.165,176.655,148.406,132.129,135.919,165.3
451,176.655,148.406,132.129,135.919,165.3,166.309
452,148.406,132.129,135.919,165.3,166.309,135.738
453,132.129,135.919,165.3,166.309,135.738,133.862
454,135.919,165.3,166.309,135.738,133.862,123.65
455,165.3,166.309,135.738,133.862,123.65,135.488
456,166.309,135.738,133.862,123.65,135.488,155.016
457,135.738,133.862,123.65,135.488,155.016,173.728
458,133.862,123.65,135.488,155.016,173.728,169.987
459,123.65,135.488,155.016,173.728,169.987,141.456
460,135.488,155.016,173.728,169.987,141.456,128.32
461,155.016,173.728,169.987,141.456,128.32,123.628
462,173.728,169.987,141.456,128.32,123.628,135.527
463,169.987,141.456,128.32,123.628,135.527,129.542
464,141.456,128.32,123.628,135.527,129.542,115.247
465,128.32,123.628,135.527,129.542,115.247,105.084
466,123.628,135.527,129.542,115.247,105.084,94.674
467,135.527,129.542,115.247,105.084,94.674,114.96
468,129.542,115.247,105.084,94.674,114.96,131.167
469,115.247,105.084,94.674,114.96,131.167,158.331
470,105.084,94.674,114.96,131.167,158.331,151.36
471,94.674,114.96,131.167,158.331,151.36,127.184
472,114.96,131.167,158.331,151.36,127.184,121.741
473,131.167,158.331,151.36,127.184,121.741,127.974
474,158.331,151.36,127.184,121.741,127.974,133.974
475,151.36,127.184,121.741,127.974,133.974,137.055
476,127.184,121.741,127.974,133.974,137.055,122.562
477,121.741,127.974,133.974,137.055,122.562,128.606
478,127.974,133.974,137.055,122.562,128.606,110.959
479,133.974,137.055,122.562,128.606,110.959,118.029
480,137.055,122.562,128.606,110.959,118.029,137.026
481,122.562,128.606,110.959,118.029,137.026,151.952
482,128.606,110.959,118.029,137.026,151.952,149.701
483,110.959,118.029,137.026,151.952,149.701,132.785
484,118.029,137.026,151.952,149.701,132.785,121.075
485,137.026,151.952,149.701,132.785,121.075,120.445
486,151.952,149.701,132.785,121.075,120.445,141.155
487,149.701,132.785,121.075,120.445,141.155,153.85
488,132.785,121.075,120.445,141.155,153.85,140.102
489,121.075,120.445,141.155,153.85,140.102,132.664
490,120.445,141.155,153.85,140.102,132.664,106.751
491,141.155,153.85,140.102,132.664,106.751,117.672
492,153.85,140.102,132.664,106.751,117.672,136.577
493,140.102,132.664,106.751,117.672,136.577,149.776
494,132.664,106.751,117.672,136.577,149.776,148.995
495,106.751,117.672,136.577,149.776,148.995,126.983
496,117.672,136.577,149.776,148.995,126.983,112.3
497,136.577,149.776,148.995,126.983,112.3,118.837
498,149.776,148.995,126.983,112.3,118.837,124.629
499,148.995,126.983,112.3,118.837,124.629,130.232
500,126.983,112.3,118.837,124.629,130.232,122.417
501,112.3,118.837,124.629,130.232,122.417,106.412
502,118.837,124.629,130.232,122.417,106.412,88.646
503,124.629,130.232,122.417,106.412,88.646,104.498
504,130.232,122.417,106.412,88.646,104.498,126.28
505,122.417,106.412,88.646,104.498,126.28,140.283
506,106.412,88.646,104.498,126.28,140.283,135.156
507,88.646,104.498,126.28,140.283,135.156,118.653
508,104.498,126.28,140.283,135.156,118.653,98.469
509,126.28,140.283,135.156,118.653,98.469,90.263
510,140.283,135.156,118.653,98.469,90.263,91.658
511,135.156,118.653,98.469,90.263,91.658,113.495
512,118.653,98.469,90.263,91.658,113.495,92.416
513,98.469,90.263,91.658,113.495,92.416,72.84
514,90.263,91.658,113.495,92.416,72.84,71.41
515,91.658,113.495,92.416,72.84,71.41,82.51
516,113.495,92.416,72.84,71.41,82.51,115.772
517,92.416,72.84,71.41,82.51,115.772,135.958
