,Transform,Test_Size,Tetangga,MSE_coba,MAPE_coba
0,1,0.2,2,0.015509308842965199,0.10321802855447676
1,1,0.2,3,0.013474693496421605,0.09511382260250409
2,1,0.2,5,0.012116903060109116,0.0913999101524751
3,1,0.2,7,0.011977946604355983,0.09217320773889423
4,1,0.2,9,0.012526160144287765,0.0952575010469306
5,1,0.3,2,0.01436007655116477,0.09125574376391032
6,1,0.3,3,0.012591079417091571,0.08518837768558829
7,1,0.3,5,0.01172022711811483,0.08275808241922467
8,1,0.3,7,0.011918582814328239,0.08462465525212448
9,1,0.3,9,0.012076597060506554,0.0853235335062997
10,1,0.4,2,0.01574350101614023,0.09120121365378447
11,1,0.4,3,0.014582426385636163,0.08792216497743299
12,1,0.4,5,0.014392585784657198,0.08624317066095889
13,1,0.4,7,0.015624023396474928,0.08910317577883488
14,1,0.4,9,0.015865800716316176,0.09090351965539602
15,2,0.2,2,0.012399398095790218,0.09304198590528699
16,2,0.2,3,0.013280533311623344,0.09693219738072467
17,2,0.2,5,0.01247430796683541,0.09404686789346822
18,2,0.2,7,0.012037139607050247,0.09330691204340898
19,2,0.2,9,0.012347277773177262,0.09399853091261572
20,2,0.3,2,0.012707481721770181,0.08324894075178368
21,2,0.3,3,0.01256201941970878,0.08475056514191356
22,2,0.3,5,0.011645606539913122,0.08168475112634183
23,2,0.3,7,0.011591940216027944,0.08349687855799542
24,2,0.3,9,0.011872641203573828,0.08375797742529321
25,2,0.4,2,0.015799300535808622,0.08710628380487137
26,2,0.4,3,0.015809358539950757,0.08725487237613702
27,2,0.4,5,0.016170601644633277,0.08907660909908881
28,2,0.4,7,0.01714397774866911,0.0941997831322651
29,2,0.4,9,0.01778887710974395,0.09645781896048207
30,3,0.2,2,0.012673953590910789,0.09088792702877226
31,3,0.2,3,0.013077439050360639,0.09322236069540464
32,3,0.2,5,0.012275302282689627,0.09104608135817756
33,3,0.2,7,0.012811450192025278,0.09369508206929307
34,3,0.2,9,0.013014303649781973,0.0935071609602442
35,3,0.3,2,0.012520114960565829,0.07895701236576678
36,3,0.3,3,0.012154243185476575,0.08033566857828116
37,3,0.3,5,0.011507910143857351,0.07959964250111953
38,3,0.3,7,0.011824022633060951,0.08179927109565657
39,3,0.3,9,0.012383254332971876,0.08335598633781702
40,3,0.4,2,0.013066940652478777,0.07889183063667962
41,3,0.4,3,0.014025494770830812,0.08242115531450454
42,3,0.4,5,0.015099216147049078,0.08647643855622639
43,3,0.4,7,0.016920491454712274,0.09253368269910005
44,3,0.4,9,0.017506058547959585,0.09439283120411734
45,4,0.2,2,0.010339190699447538,0.08208190751569494
46,4,0.2,3,0.010324340747805968,0.0824032687923128
47,4,0.2,5,0.010284083998748358,0.0817455871360154
48,4,0.2,7,0.011595314634929172,0.08777547364535962
49,4,0.2,9,0.011930490213170232,0.09049615695007421
50,4,0.3,2,0.009268290221414646,0.06957431571339918
51,4,0.3,3,0.009357974537924335,0.07278950057021082
52,4,0.3,5,0.010266533687258113,0.07529046035009679
53,4,0.3,7,0.011251580299630784,0.08005364781362874
54,4,0.3,9,0.011611572728151817,0.08188068486611666
55,4,0.4,2,0.014456250420455773,0.08162612313941969
56,4,0.4,3,0.014674138880718095,0.08288047363453119
57,4,0.4,5,0.015013608904931385,0.08348298577051126
58,4,0.4,7,0.015878054968674782,0.08763683004014895
59,4,0.4,9,0.016040880799707575,0.08919302248344495
60,5,0.2,2,0.008924244354412953,0.07513943648359248
61,5,0.2,3,0.009800642603688745,0.076780671929304
62,5,0.2,5,0.009644188664150186,0.07499908117667867
63,5,0.2,7,0.010163048290284284,0.07945418542711602
64,5,0.2,9,0.010210235640669231,0.08122422006823965
65,5,0.3,2,0.007177486867133461,0.06113225246235173
66,5,0.3,3,0.00848326109531211,0.0657784755829638
67,5,0.3,5,0.008937106066837975,0.06698770068204418
68,5,0.3,7,0.009608037297402564,0.0714241183251615
69,5,0.3,9,0.010047543787105453,0.0745881544132537
70,5,0.4,2,0.012330169905411479,0.07542456650770896
71,5,0.4,3,0.012883768529333591,0.07545653382259257
72,5,0.4,5,0.0129952883616313,0.07514957433765446
73,5,0.4,7,0.013401228513268361,0.07909376461375614
74,5,0.4,9,0.01316282494716751,0.0799328294619316
75,6,0.2,2,0.00912064609933547,0.07528788415035269
76,6,0.2,3,0.009665849816109736,0.07911452397787147
77,6,0.2,5,0.009687693828783659,0.07911027984202991
78,6,0.2,7,0.010621129584478904,0.08326832260606826
79,6,0.2,9,0.010470626038973786,0.08378020290895627
80,6,0.3,2,0.007469996429590013,0.06229387443363168
81,6,0.3,3,0.00813415395531852,0.06634390550743981
82,6,0.3,5,0.008873892615953826,0.06983999039595837
83,6,0.3,7,0.00971535892245782,0.07327762013296232
84,6,0.3,9,0.010251747172422051,0.07604750751065135
85,6,0.4,2,0.013974500880468057,0.07879939030150206
86,6,0.4,3,0.014643938164207643,0.08143895535162543
87,6,0.4,5,0.013875270455716671,0.07947583232294989
88,6,0.4,7,0.013488109266146475,0.08056459617785677
89,6,0.4,9,0.013746369796368115,0.08218243991718577
90,7,0.2,2,0.01031795142738484,0.07806642965243354
91,7,0.2,3,0.010032267229669907,0.08053834969072385
92,7,0.2,5,0.010431553461403379,0.08210304698865076
93,7,0.2,7,0.010770352466295152,0.08383966987312816
94,7,0.2,9,0.011010517989016226,0.08658496135884215
95,7,0.3,2,0.009833489825344755,0.06695065256457232
96,7,0.3,3,0.008800272101215248,0.06885361926413071
97,7,0.3,5,0.009934632998668012,0.07322103756570796
98,7,0.3,7,0.010330683180266458,0.07479134000508258
99,7,0.3,9,0.01065605015252038,0.07792321907406166
100,7,0.4,2,0.01595896281484242,0.08082284374724799
101,7,0.4,3,0.015573494889745475,0.081791726305203
102,7,0.4,5,0.014385952218104566,0.08166107610339386
103,7,0.4,7,0.013867847039462223,0.08222656502772983
104,7,0.4,9,0.014500398234737713,0.08519743950115621
